Sport,Year,Brand,Set,CardNumber,Player,Team,Parallel_Attributes,Serial,GradingCompany,Grade,CertNumber,IsAuto,Quantity,ListPrice,PricingBasis,CompSource,ConditionNotes,SourcePhoto,ImageURL_pro,MarketplaceStatus
,2014,Panini,Prizm,12,T.J. Warren,Suns,,,,,,,1,6.00,est,,RC,IMG_4888,,UNLISTED
,2025,Topps,(Round 1 Pick 3),77,VJ Edgecombe,76ers,,,,,,,1,6.00,est,,RC,IMG_4889,,UNLISTED
,2024,Panini,Prizm,0,Ron Holland II,Pistons,Red Sparkle,,,,,,1,6.00,est,,RC,IMG_4890,,UNLISTED
,2025,Panini,Prizm Prizmatic,87,Luther Burden III,Bears,,,,,,,1,6.00,est,,RC,IMG_4891,,UNLISTED
,2024,Donruss,Optic Rated Rookie,15,Jalen McMillan,Buccaneers,Blue,,,,,,1,6.00,est,,RC,IMG_4891,,UNLISTED
,,Donruss,Optic Rated Prospect,,Mitch Voit,Yankees,Orange,,,,,,1,6.00,est,,RC,IMG_4892,,UNLISTED
,,Topps,Chrome,28,Brice Matthews,Astros,Negative,,,,,,1,6.00,est,,RC,IMG_4893,,UNLISTED
,,Donruss,Unleashed,,Chase DeLauter,Guardians,,,,,,,1,6.00,est,,RC,IMG_4893,,UNLISTED
,,Donruss,Rated Prospect,,Kevin McGonigle,Tigers,,,,,,,1,6.00,est,,RC,IMG_4894,,UNLISTED
,2024,Panini,Prizm Groovy,14,Matas Buzelis,Bulls,Pink,,,,,,1,6.00,est,,"RC, sealed",IMG_4899,,UNLISTED
,2025,Bowman,Sterling Chrome,14,Jac Caglianone,Royals,,,,,,,1,6.00,est,,"RC, sealed",IMG_4903,,UNLISTED
,2025,Topps,Chrome,7,Kon Knueppel,Hornets,,,,,,,1,6.00,est,,"RC, sealed",IMG_4905,,UNLISTED
,,Topps,Finest,,Cam Schlittler,Yankees,,,,,,,1,6.00,est,,RC,IMG_4907,,UNLISTED
,,Topps,Finest,,Munetaka Murakami,White Sox,,,,,,,1,6.00,est,,RC; confirm team,IMG_4907,,UNLISTED
,,Topps,Stars of MLB,,Ceddanne Rafaela,Red Sox,,,,,,,1,6.00,est,,RC,IMG_4908,,UNLISTED
,,Topps,Finest Arrivals,,Nolan McLean,Mets,,,,,,,1,6.00,est,,RC,IMG_4909,,UNLISTED
,,Topps,Finest Arrivals,,Kevin McGonigle,Tigers,,,,,,,1,6.00,est,,RC,IMG_4909,,UNLISTED
,,Topps,Finest Arrivals,27,Sal Stewart,Reds,,,,,,,1,6.00,est,,RC,IMG_4910,,UNLISTED
,,Topps,Finest,,JJ Wetherholt,Cardinals,,,,,,,1,6.00,est,,RC,IMG_4910,,UNLISTED
,,Topps,Finest Arrivals,,Cole Young,Mariners,,,,,,,1,6.00,est,,RC,IMG_4911,,UNLISTED
,1999,Fleer,Tradition,,Tim James,Heat,,,,,,,1,6.00,est,,RC,IMG_4912,,UNLISTED
,1999,Fleer,Tradition,,Aleksandar Radojevic,Raptors,,,,,,,1,6.00,est,,RC,IMG_4912,,UNLISTED
,1999,Fleer,Tradition,,Trajan Langdon,Cavaliers,,,,,,,1,6.00,est,,RC,IMG_4912,,UNLISTED
,1999,Fleer,Tradition,,Richard Hamilton,Wizards,,,,,,,1,6.00,est,,RC,IMG_4912,,UNLISTED
,1999,Fleer,Tradition,,Jonathan Bender,Pacers,,,,,,,1,6.00,est,,RC,IMG_4913,,UNLISTED
,1999,Fleer,Tradition,,William Avery,Timberwolves,,,,,,,1,6.00,est,,RC,IMG_4914,,UNLISTED
,1999,Fleer,Tradition,,Andre Miller,Cavaliers,,,,,,,1,6.00,est,,RC,IMG_4915,,UNLISTED
,1999,Fleer,Tradition,,Aleksandar Radojevic,Raptors,,,,,,,1,6.00,est,,RC,IMG_4915,,UNLISTED
,1999,Fleer,Tradition,,Kenny Thomas,Rockets,,,,,,,1,6.00,est,,RC,IMG_4917,,UNLISTED
,,Upper Deck,Home Court Advantage,44,Keith Van Horn,Nets,,,,,,,1,6.00,est,,RC-era,IMG_4918,,UNLISTED
,2025,Topps,(Round 1 Pick 2),2,Dylan Harper,Spurs,,,,,,,1,6.00,est,,RC,IMG_4919,,UNLISTED
,,Panini,Prizm,25,KJ Simpson Jr.,Hornets,Blue Sparkle,,,,,,1,6.00,est,,RC,IMG_4920,,UNLISTED
,1999,Fleer,Tradition Dream Scene,,Shawn Marion,Suns,,,,,,,1,6.00,est,,RC,IMG_4921,,UNLISTED
,,Upper Deck,Pros & Prospects ProActive,20,Larry Hughes,Warriors,,,,,,,1,6.00,est,,RC-era,IMG_4921,,UNLISTED
,1999,Fleer,Tradition,,Lamar Odom,Clippers,,,,,,,1,6.00,est,,RC,IMG_4922,,UNLISTED
,1999,Fleer,Tradition,,Ron Artest,Bulls,,,,,,,1,6.00,est,,RC,IMG_4922,,UNLISTED
,1999,Fleer,Tradition,,Andre Miller,Cavaliers,,,,,,,1,6.00,est,,RC,IMG_4922,,UNLISTED
,2025,Topps,Rookie Wave,4,Tetairoa McMillan,Panthers,,,,,,,1,6.00,est,,RC,IMG_4925,,UNLISTED
,2025,Topps,Chrome,,Pat Bryant,Broncos,Xfractor,,,,,,1,6.00,est,,RC; confirm player,IMG_4925,,UNLISTED
,2025,Topps,Chrome,,Kaleb Johnson,Steelers,,,,,,,1,6.00,est,,RC,IMG_4925,,UNLISTED
,2025,Donruss,Optic Rated Rookie,11,Jalon Walker,Falcons,Pink,,,,,,1,6.00,est,,RC,IMG_4925,,UNLISTED
,2025,Donruss,Optic Rated Rookie,31,DJ Giddens,Colts,Pink,,,,,,1,6.00,est,,RC,IMG_4926,,UNLISTED
,,Topps,Chrome,23,Roschon Johnson,Bears,,,,,,,1,6.00,est,,RC,IMG_4926,,UNLISTED
,2024,Donruss,Optic Rated Rookie,7,Bucky Irving,Buccaneers,,,,,,,1,6.00,est,,RC,IMG_4927,,UNLISTED
,2025,Panini,Elevate,87,Luther Burden III,Bears,,,,,,,1,6.00,est,,RC,IMG_4927,,UNLISTED
,2025,Topps,Chrome,,Elijah Arroyo,Seahawks,,,,,,,1,6.00,est,,RC,IMG_4927,,UNLISTED
,2025,Panini,Notoriety,,Cam Ward,Titans,,,,,,,1,6.00,est,,RC,IMG_4927,,UNLISTED
,2025,Panini,Mosaic Elevate,12,Travis Hunter,Jaguars,Blue,,,,,,1,6.00,est,,RC,IMG_4928,,UNLISTED
,2025,Topps,Chrome,91,Tyleik Williams,Lions,Xfractor,,,,,,1,6.00,est,,RC,IMG_4928,,UNLISTED
,2025,Panini,Mosaic Notoriety,,Abdul Carter,Giants,,,,,,,1,6.00,est,,RC,IMG_4929,,UNLISTED
,2025,Topps,Chrome,24,Malaki Starks,Ravens,Refractor,,,,,,1,6.00,est,,RC,IMG_4930,,UNLISTED
,2025,Topps,Chrome,13,Pat Bryant,Broncos,,,,,,,1,6.00,est,,RC,IMG_4931,,UNLISTED
,2025,Panini,Prizm,9,Emeka Egbuka,Buccaneers,,,,,,,1,6.00,est,,RC,IMG_4931,,UNLISTED
,2020,Panini,Mosaic,10,Justin Herbert,Chargers,Red,,,,,,1,6.00,est,,RC,IMG_4931,,UNLISTED
,2025,Panini,Mosaic,12,Shedeur Sanders,Browns,Pink Camo,,,,,,1,6.00,est,,RC,IMG_4932,,UNLISTED
,2025,Panini,Mosaic,12,Shedeur Sanders,Browns,Green,,,,,,1,6.00,est,,RC,IMG_4932,,UNLISTED
,2025,Panini,Mosaic,22,Matthew Golden,Packers,Pink Camo,,,,,,1,6.00,est,,RC,IMG_4933,,UNLISTED
,2025,Panini,Mosaic,20,Kaleb Johnson,Steelers,Pink Camo,,,,,,1,6.00,est,,RC,IMG_4933,,UNLISTED
,,Bowman,,,Jo Adell,Angels,,,,,,,1,6.00,est,,RC,IMG_4934,,UNLISTED
,2024,Panini,Prizm,18,Caleb Williams,Bears,,,,,,,1,6.00,est,,"RC, sealed",IMG_4935,,UNLISTED
,2025,Panini,Phoenix Thunderbirds,2,Ashton Jeanty,Raiders,,,,,,,1,6.00,est,,"RC, sealed",IMG_4935,,UNLISTED
,2025,Donruss,Rated Rookie,3,Walter Clayton Jr.,Jazz,,,,,,,1,6.00,est,,RC,IMG_4936,,UNLISTED
,2020,Panini,Prizm,2,LaMelo Ball,Hornets,Red Wave,,,,,,1,6.00,est,,"RC, sealed",IMG_4936,,UNLISTED
,2025,Panini,NBA Hoops,7,Kon Knueppel,Hornets,,,,,,,1,6.00,est,,RC,IMG_4939,,UNLISTED
,2025,Donruss,Optic Rated Rookie,9,Emeka Egbuka,Buccaneers,Blue,,,,,,1,6.00,est,,RC,IMG_4942,,UNLISTED
,2025,Donruss,Optic Rated Rookie,,Shedeur Sanders,Browns,Purple,,,,,,1,6.00,est,,RC,IMG_4942,,UNLISTED
,,Donruss,Optic,,Chandler Simpson,Rays,Orange,,,,,,1,6.00,est,,RC,IMG_4946,,UNLISTED
,,Donruss,,22,Cade Horton,Cubs,,,,,,,1,6.00,est,,RC,IMG_4946,,UNLISTED
,,Bowman,Bowman's Best,,Bubba Chandler,Pirates,,,,,,,1,6.00,est,,"RC, sealed",IMG_4947,,UNLISTED
,2025,Donruss,Optic Rated Rookie,84,Tyler Warren,Colts,,,,,,,1,6.00,est,,RC,IMG_4948,,UNLISTED
,2025,Panini,Phoenix Paragon,,Jaxson Dart,Giants,,,,,,,1,6.00,est,,"RC, sealed",IMG_4948,,UNLISTED
,2025,Topps,Chrome,,Kon Knueppel,Hornets,,,,,,,1,6.00,est,,"RC, sealed",IMG_4949,,UNLISTED
,2024,Panini,Absolute,15,Rome Odunze,Bears,,,,,,,1,6.00,est,,"RC, sealed",IMG_4950,,UNLISTED
,2025,Donruss,Optic Rated Rookie,3,Nick Emmanwori,Seahawks,Blue,,,,,,1,6.00,est,,RC,IMG_4950,,UNLISTED
,2025,Panini,NBA Hoops Next Episode,19,Joan Beringer,Timberwolves,,,,,,,1,6.00,est,,RC,IMG_4951,,UNLISTED
,2024,Panini,Prizm,3,Dillon Jones,Thunder,,,,,,,1,6.00,est,,RC,IMG_4952,,UNLISTED
,,Bowman,Sterling Chrome,,Max Clark,Tigers,,,,,,,1,6.00,est,,"RC prospect, sealed",IMG_4955,,UNLISTED
,,Panini,Prizm,99,Aaron Donald,Rams,Checkerboard,,,,,,1,5.00,sticker,,,IMG_4836,,UNLISTED
,,Panini,Fuzion,18,Justin Jefferson,Vikings,,,,,,,1,5.00,sticker,,,IMG_4837,,UNLISTED
,,Panini,Mosaic National Pride,13,Brock Purdy,49ers,,,,,,,1,5.00,sticker,,patriotic insert,IMG_4841,,UNLISTED
,,Donruss,Elite Series,,Nick Kurtz,Athletics,Gold,03/99,,,,,1,5.00,sticker,,,IMG_4847,,UNLISTED
,,Panini,Mosaic NBA Greats,32,Magic Johnson,Lakers,Pink Camo,,,,,,1,3.00,est,,,IMG_4815,,UNLISTED
,,Panini,Prizm,,Byron Buxton,Twins,Silver/Prizm,,,,,,1,3.00,est,,,IMG_4821,,UNLISTED
,,Topps,Home Field Advantage,,Bryce Harper,Phillies,,,,,,,1,3.00,est,,patriotic insert,IMG_4821,,UNLISTED
,,Topps,,18,Yoshinobu Yamamoto,Dodgers,,,,,,,1,3.00,est,,art/living-set style,IMG_4821,,UNLISTED
,,Panini,Select,14,Sam Darnold,Panthers,,,,,,,1,3.00,est,,,IMG_4822,,UNLISTED
,,Panini,Select,90,Jordan Davis,Eagles,Zebra,,,,,,1,3.00,est,,,IMG_4824,,UNLISTED
,,Leaf,(sportscaster-style),21,Roberto Clemente,Pirates,,,,,,,1,3.00,est,,,IMG_4830,,UNLISTED
,,Panini,Origins,,Bam Adebayo,Heat,Red,,,,,,1,3.00,est,,confirm set,IMG_4831,,UNLISTED
,,Panini,Prizm,,Amon-Ra St. Brown,Lions,Pink,,,,,,1,3.00,est,,,IMG_4832,,UNLISTED
,,Panini,Mosaic,,Robert Quinn,Bears,Gold,,,,,,1,3.00,est,,,IMG_4832,,UNLISTED
,,Topps,Chrome Fanatical,2,Cade Cunningham,Pistons,,,,,,,1,3.00,est,,,IMG_4833,,UNLISTED
,,Panini,Mosaic,88,Dawson Knox,Bills,Gold,,,,,,1,3.00,est,,,IMG_4834,,UNLISTED
,,Panini,Mosaic,,DK Metcalf,Seahawks,Disco/Silver,,,,,,1,3.00,est,,,IMG_4834,,UNLISTED
,,Panini,Mosaic,30,Terrell Davis,Broncos,Silver,,,,,,1,3.00,est,,,IMG_4835,,UNLISTED
,,Skybox,E-X E-Xceptional,7,Lamar Odom,Clippers,Green,,,,,,1,3.00,est,,,IMG_4840,,UNLISTED
,,Panini,Mosaic,10,Justin Herbert,Chargers,Cracked Ice/Silver,,,,,,1,3.00,est,,,IMG_4842,,UNLISTED
,,Panini,Select UFC,,TJ Dillashaw,UFC,,,,,,,1,3.00,est,,,IMG_4843,,UNLISTED
,,Panini,Select,5,David Montgomery,Lions,Zebra,,,,,,1,3.00,est,,,IMG_4844,,UNLISTED
,,Topps,Chrome,11,Jalen Brunson,Knicks,Xfractor,,,,,,1,3.00,est,,,IMG_4845,,UNLISTED
,,Bowman,Chrome Top 100,13,Travis Bazzana,Guardians,,,,,,,1,3.00,est,,prospect,IMG_4847,,UNLISTED
,,Panini,Mosaic Got Game?,,George Kittle,49ers,Gold,,,,,,1,3.00,est,,,IMG_4848,,UNLISTED
,,Panini,Mosaic England Games,5,Garrett Wilson,Jets,Green,,,,,,1,3.00,est,,,IMG_4858,,UNLISTED
,,Panini,Prizm,94,DeMarcus Ware,Broncos,Silver,,,,,,1,3.00,est,,,IMG_4859,,UNLISTED
,,Panini,Prizm,30,Terrell Davis,Broncos,Red,,,,,,1,3.00,est,,,IMG_4859,,UNLISTED
,,Donruss,Optic Light It Up,7,C.J. Stroud,Texans,,,,,,,1,3.00,est,,,IMG_4859,,UNLISTED
,,Topps,Paramount Pairings,,Drake Maye / Stefon Diggs,Patriots,,,,,,,1,3.00,est,,dual,IMG_4860,,UNLISTED
,,Topps,Paramount Pairings,,Bo Nix / Courtland Sutton,Broncos,,,,,,,1,3.00,est,,dual,IMG_4860,,UNLISTED
,,Topps,Total Touchdowns,10,Drake Maye,Patriots,,,,,,,1,3.00,est,,,IMG_4860,,UNLISTED
,1996-97,Fleer,Hardwood Leader,32,Shaquille O'Neal,Magic,,,,,,,1,3.00,est,,,IMG_4861,,UNLISTED
,,Upper Deck,,33,Scottie Pippen,Bulls,,,,,,,1,3.00,est,,,IMG_4861,,UNLISTED
,,Upper Deck,Pros & Prospects ProActive,34,Shaquille O'Neal,Lakers,,,,,,,1,3.00,est,,,IMG_4861,,UNLISTED
,,Donruss,Elite Back to the Future,,Roger Clemens / Trey Yesavage,Blue Jays,,,,,,,1,3.00,est,,dual,IMG_4862,,UNLISTED
,,Donruss,Elite,,Chipper Jones,Braves,,,,,,,1,3.00,est,,,IMG_4863,,UNLISTED
,,Topps,(1963 refractor insert),,Roberto Clemente,Pirates,,,,,,,1,3.00,est,,,IMG_4863,,UNLISTED
,,Donruss,Elite,,Cam Smith,Astros,Gold,,,,,,1,3.00,est,,,IMG_4863,,UNLISTED
,,Topps,75th (1963 insert),,Hank Aaron,Braves,,,,,,,1,3.00,est,,,IMG_4864,,UNLISTED
,,Topps,75th (1963 insert),,Willie Mays,Giants,,,,,,,1,3.00,est,,,IMG_4864,,UNLISTED
,,Topps,Chrome 75th,,Elly De La Cruz,Reds,,,,,,,1,3.00,est,,,IMG_4864,,UNLISTED
,,Topps,75th (1963 insert),,Pete Rose,Reds,,,,,,,1,3.00,est,,Pete Rose Debut,IMG_4864,,UNLISTED
,,Topps,Heritage,,Albert Pujols,Cardinals,,,,,,,1,3.00,est,,,IMG_4864,,UNLISTED
,,Panini,Mosaic Numbers Matter,89,Brock Bowers,Raiders,,,,,,,1,3.00,est,,,IMG_4865,,UNLISTED
,,Topps,Chrome,15,Ladd McConkey,Chargers,Gold Xfractor,,,,,,1,3.00,est,,,IMG_4865,,UNLISTED
,,Panini,NBA Hoops All-Star,,Jalen Brunson,Knicks,Holo,,,,,,1,3.00,est,,,IMG_4866,,UNLISTED
,,Panini,Prizm Representatives,32,Karl Malone,Jazz,,,,,,,1,3.00,est,,,IMG_4866,,UNLISTED
,,Panini,NBA Hoops Hoopers,3,Anthony Davis,Mavericks,,,,,,,1,3.00,est,,,IMG_4866,,UNLISTED
,,Donruss,Unleashed,,Luke Keaschall,Twins,,,,,,,1,3.00,est,,,IMG_4868,,UNLISTED
,,Donruss,Bomb Squad,,Albert Pujols,Cardinals,,,,,,,1,3.00,est,,,IMG_4868,,UNLISTED
,,Topps,,,Whit Merrifield,Phillies,Green,,,,,,1,3.00,est,,,IMG_4868,,UNLISTED
,,Panini,Prizm,24,Sam Jones,Celtics,Gold,,,,,,1,3.00,est,,,IMG_4869,,UNLISTED
,,Panini,Prizm,1,Oscar Robertson,Bucks,Blue,,,,,,1,3.00,est,,,IMG_4869,,UNLISTED
,,Panini,Prizm,,Tyson Chandler,Mavericks,Purple,,,,,,1,3.00,est,,,IMG_4869,,UNLISTED
,,Upper Deck,Pros & Prospects Star Command,34,Shaquille O'Neal,Lakers,,,,,,,1,3.00,est,,,IMG_4869,,UNLISTED
,,Panini,Gridiron Kings,1,Travis Etienne Jr.,Jaguars,,,,,,,1,3.00,est,,,IMG_4870,,UNLISTED
,,Panini,Prizm,81,Anquan Boldin,49ers,,,,,,,1,3.00,est,,,IMG_4870,,UNLISTED
,,Panini,Mosaic,88,CeeDee Lamb,Cowboys,Pink Camo,,,,,,1,3.00,est,,,IMG_4870,,UNLISTED
,,Topps,Chrome All-Chrome,26,Saquon Barkley,Eagles,,,,,,,1,3.00,est,,,IMG_4871,,UNLISTED
,,Panini,Select,,Dak Prescott,Cowboys,Silver,,,,,,1,3.00,est,,,IMG_4871,,UNLISTED
,,Panini,Mosaic Epic Performers,11,Larry Fitzgerald,Cardinals,Green/Red,,,,,,1,3.00,est,,,IMG_4871,,UNLISTED
,,Panini,Mosaic Men of Mastery,18,Peyton Manning,Colts,,,,,,,1,3.00,est,,,IMG_4871,,UNLISTED
,,Panini,Mosaic Overdrive,41,Alvin Kamara,Saints,,,,,,,1,3.00,est,,,IMG_4871,,UNLISTED
,,Panini,Mosaic Notoriety,22,Derrick Henry,Ravens,Silver,,,,,,1,3.00,est,,,IMG_4872,,UNLISTED
,,Panini,Mosaic,10,Justin Herbert,Chargers,Pink Camo,,,,,,1,3.00,est,,,IMG_4872,,UNLISTED
,,Panini,Mosaic,1,Kyler Murray,Cardinals,Pink Camo,,,,,,1,3.00,est,,,IMG_4872,,UNLISTED
,,Panini,Mosaic Touchdown Masters,81,Calvin Johnson,Lions,,,,,,,1,3.00,est,,,IMG_4872,,UNLISTED
,,Panini,Mosaic,4,Dak Prescott,Cowboys,Pink Camo,,,,,,1,3.00,est,,,IMG_4873,,UNLISTED
,,Panini,Mosaic Touchdown Masters,11,Larry Fitzgerald,Cardinals,,,,,,,1,3.00,est,,,IMG_4873,,UNLISTED
,,Topps,(Round 2 Pick 23),85,Trey McBride,Cardinals,,,,,,,1,3.00,est,,,IMG_4874,,UNLISTED
,,Topps,Chrome,2,Josh Downs,Colts,Gold Xfractor,,,,,,1,3.00,est,,,IMG_4874,,UNLISTED
,,Donruss,Optic Bash Brothers,,C.J. Stroud / Nico Collins,Texans,,,,,,,1,3.00,est,,dual,IMG_4875,,UNLISTED
,,Topps,(The Game insert),32,Jason Kidd,Suns,,,,,,,1,3.00,est,,,IMG_4876,,UNLISTED
,,Topps,Chrome,3,Allen Iverson,76ers,,,,,,,1,3.00,est,,,IMG_4876,,UNLISTED
,,Panini,Limited,24,Walker Kessler,Jazz,,,,,,,1,3.00,est,,,IMG_4877,,UNLISTED
,,Panini,Limited Star Factor,23,Anthony Davis,Pelicans,,,,,,,1,3.00,est,,,IMG_4877,,UNLISTED
,,Upper Deck,Pros & Prospects,3,Allen Iverson,76ers,,,,,,,1,3.00,est,,,IMG_4878,,UNLISTED
,2000-01,Upper Deck,Hardcourt Home Court Advantage,,Bulls player (confirm),Bulls,,,,,,,1,3.00,est,,confirm player,IMG_4879,,UNLISTED
,2000-01,Upper Deck,Hardcourt,,76ers player (confirm - Iverson?),76ers,,,,,,,1,3.00,est,,confirm player,IMG_4879,,UNLISTED
,2000-01,Upper Deck,Hardcourt Home Court Advantage,11,Zydrunas Ilgauskas,Cavaliers,,,,,,,1,3.00,est,,,IMG_4879,,UNLISTED
,2000-01,Upper Deck,Hardcourt,33,Patrick Ewing,Knicks,,,,,,,1,3.00,est,,confirm player,IMG_4879,,UNLISTED
,,Panini,Prizm,40,Ivica Zubac,Clippers,Red Sparkle,,,,,,1,3.00,est,,,IMG_4882,,UNLISTED
,,Panini,Prizm,,Ben Simmons,Nets,Red Sparkle,,,,,,1,3.00,est,,,IMG_4882,,UNLISTED
,,Panini,Prizm,24,Jordan Hawkins,Pelicans,Red Sparkle,,,,,,1,3.00,est,,,IMG_4882,,UNLISTED
,,Panini,Prizm,,Robert Williams III,Celtics,Red Sparkle,,,,,,1,3.00,est,,,IMG_4882,,UNLISTED
,,Panini,Prizm,,James Wiseman,Warriors,Red Sparkle,,,,,,1,3.00,est,,,IMG_4882,,UNLISTED
,,Panini,Prizm,12,Kendrick Nunn,Lakers,Red Sparkle,,,,,,1,3.00,est,,,IMG_4883,,UNLISTED
,,Panini,Prizm,9,Gerald Henderson,Hornets,Blue,,,,,,1,3.00,est,,,IMG_4884,,UNLISTED
,,Upper Deck,Pros & Prospects,21,Tim Duncan,Spurs,,,,,,,1,3.00,est,,,IMG_4884,,UNLISTED
,,Panini,Prizm,,Marc Gasol,Grizzlies,Blue,,,,,,1,3.00,est,,,IMG_4884,,UNLISTED
,,Panini,Prizm,35,Kenneth Faried,Nuggets,Gold/Red,,,,,,1,3.00,est,,,IMG_4884,,UNLISTED
,,Panini,Prizm,,Tobias Harris,Magic,Blue,,,,,,1,3.00,est,,,IMG_4884,,UNLISTED
,,Panini,Prizm,,Greg Monroe,Pistons,Blue/Green,,,,,,1,3.00,est,,,IMG_4885,,UNLISTED
,,Panini,Prizm,11,Brook Lopez,Nets,Gold/Red,,,,,,1,3.00,est,,,IMG_4885,,UNLISTED
,,Panini,Prizm,11,Brandon Knight,Bucks,Gold,,,,,,1,3.00,est,,,IMG_4885,,UNLISTED
,,Upper Deck,Pros & Prospects ProActive,,Chris Webber,Kings,,,,,,,1,3.00,est,,,IMG_4885,,UNLISTED
,,Upper Deck,Pros & Prospects,15,Vince Carter,Raptors,,,,,,,1,3.00,est,,,IMG_4885,,UNLISTED
,,Panini,Prizm,,Jerry Sloan,Bulls,,,,,,,1,3.00,est,,,IMG_4886,,UNLISTED
,,Panini,Prizm,,Craig Ehlo,Cavaliers,,,,,,,1,3.00,est,,,IMG_4886,,UNLISTED
,,Topps,(Round 1 Pick 2),7,Kevin Durant,Rockets,,,,,,,1,3.00,est,,,IMG_4886,,UNLISTED
,,Topps,(Round 1 Pick 13),45,Donovan Mitchell,Cavaliers,,,,,,,1,3.00,est,,,IMG_4886,,UNLISTED
,,Upper Deck,Hardcourt,,Jerry Stackhouse,Pistons,,,,,,,1,3.00,est,,,IMG_4886,,UNLISTED
,,Upper Deck,Hardcourt,15,Clippers player #15 (confirm),Clippers,,,,,,,1,3.00,est,,confirm player,IMG_4887,,UNLISTED
,,Upper Deck,Pros & Prospects,33,Scottie Pippen,Trail Blazers,,,,,,,1,3.00,est,,,IMG_4887,,UNLISTED
,,Upper Deck,Pros & Prospects Star Command,4,Chris Webber,Kings,,,,,,,1,3.00,est,,,IMG_4887,,UNLISTED
,,Panini,NBA Hoops,9,Rajon Rondo,Celtics,,,,,,,1,3.00,est,,,IMG_4887,,UNLISTED
,2025,Panini,NBA Hoops All-Star,,Dalton Knecht,Lakers,Holo,,,,,,1,3.00,est,,,IMG_4887,,UNLISTED
,,Upper Deck,Hardcourt,21,Kevin Garnett,Timberwolves,,,,,,,1,3.00,est,,,IMG_4887,,UNLISTED
,,Panini,NBA Hoops Playoffs,28,Alperen Sengun,Rockets,,,,,,,1,3.00,est,,,IMG_4888,,UNLISTED
,,Panini,Prizm Representatives,,Marc Gasol,Grizzlies,,,,,,,1,3.00,est,,,IMG_4888,,UNLISTED
,,Upper Deck,Hardcourt,44,Keith Van Horn,Nets,,,,,,,1,3.00,est,,confirm team,IMG_4888,,UNLISTED
,,Topps,(Gallery/art),33,Patrick Ewing,Knicks,,,,,,,1,3.00,est,,,IMG_4888,,UNLISTED
,,Panini,Prizm,4,Michael Finley,Spurs,,,,,,,1,3.00,est,,,IMG_4889,,UNLISTED
,,Panini,Prizm,17,Dennis Schroder,Hawks,Blue,,,,,,1,3.00,est,,,IMG_4889,,UNLISTED
,,Panini,Prizm,,Jason Terry,Rockets,Green,,,,,,1,3.00,est,,,IMG_4889,,UNLISTED
,,Panini,Prizm,33,Patrick Ewing,Knicks,,,,,,,1,3.00,est,,,IMG_4889,,UNLISTED
,,Panini,Prizm,23,Zach Collins,Spurs,Red Sparkle,,,,,,1,3.00,est,,,IMG_4890,,UNLISTED
,,Panini,Prizm,14,Jameer Nelson,Mavericks,Gold,,,,,,1,3.00,est,,,IMG_4890,,UNLISTED
,,Panini,Prizm,1,Max Strus,Cavaliers,Red Sparkle,,,,,,1,3.00,est,,,IMG_4890,,UNLISTED
,,Panini,Prizm,,Spencer Turnbull,Tigers,White Sparkle,,,,,,1,3.00,est,,,IMG_4892,,UNLISTED
,,Donruss,Bomb Squad,,Sammy Sosa,Cubs,,,,,,,1,3.00,est,,,IMG_4892,,UNLISTED
,,Topps,Chrome Fanatical,,Fernando Tatis Jr.,Padres,,,,,,,1,3.00,est,,,IMG_4893,,UNLISTED
,,Donruss,Optic,,Elston Howard,Yankees,Orange,,,,,,1,3.00,est,,,IMG_4893,,UNLISTED
,,Donruss,,,David Ortiz,Red Sox,Red,,,,,,1,3.00,est,,,IMG_4893,,UNLISTED
,,Panini,Prizm,27,Jose Altuve,Astros,White Sparkle,,,,,,1,3.00,est,,,IMG_4894,,UNLISTED
,,Topps,Chrome (1955 style),,Eddie Murray,Orioles,Gold Refractor,,,,,,1,3.00,est,,facsimile sig insert,IMG_4894,,UNLISTED
,,Donruss,,,Javier Baez,Tigers,Purple,,,,,,1,3.00,est,,,IMG_4894,,UNLISTED
,,Panini,Prizm Legends,6,Julius Erving,76ers,Red Cracked Ice,,,,,,1,3.00,est,,,IMG_4899,,UNLISTED
,2019,Topps,,8,Ryan Braun,Brewers,,,,,,,1,3.00,est,,,IMG_4903,,UNLISTED
,,Topps,Chrome Wild Jungle,,Hamburger SV player (confirm),Hamburger SV,,,,,,,1,3.00,est,,soccer insert; confirm player,IMG_4904,,UNLISTED
,1996-97,Fleer,Stackhouse's All-Fleer,33,Grant Hill,Pistons,,,,,,,1,3.00,est,,,IMG_4905,,UNLISTED
,1996-97,Fleer,Hardwood Leader,5,Jason Kidd,Mavericks,,,,,,,1,3.00,est,,,IMG_4905,,UNLISTED
,,Topps,Chrome,87,Travis Kelce,Chiefs,,,,,,,1,3.00,est,,,IMG_4906,,UNLISTED
,,Donruss,Elite Prospects,,Arjun Nimmala,Blue Jays,Orange,,,,,,1,3.00,est,,,IMG_4908,,UNLISTED
,,Donruss,Elite Prospects,,Ryan Sloan,Mariners,Orange,,,,,,1,3.00,est,,,IMG_4908,,UNLISTED
,,Donruss,,,Satchel Paige,St. Louis Browns,,,,,,,1,3.00,est,,,IMG_4908,,UNLISTED
,,Topps,Finest Timelines,23,Kirk Gibson,Dodgers,,,,,,,1,3.00,est,,,IMG_4909,,UNLISTED
,,Topps,Finest,,Brice Turang,Brewers,,,,,,,1,3.00,est,,,IMG_4909,,UNLISTED
